Date	    Product	    Category	Price	    Quantity Sold	Total Sales
2026-01-01	Laptop	    Electronics	50000	1	50000
2026-01-01	Shirt	    Clothing	1200	3	3600
2026-01-02	Phone	    Electronics	25000	2	50000
2026-01-02	Jeans	    Clothing	1800	2	3600
2026-01-03	Rice	    Grocery	60	10	        600
2026-01-03	Headphones	Electronics	2000	4	8000
2026-01-04	Shoes	    Footwear	2500	3	7500
2026-01-04	Shirt	    Clothing	1200	5	6000
2026-01-05	Mobile      CoverAccessories	500	6	3000
2026-01-05	Rice	    Grocery	60	15	900
2026-01-06	Laptop	    Electronics	50000	1	50000
2026-01-06	Shoes	    Footwear	2500	2	5000
